person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
25,259000,0,9.0,2,3,20000,14.42,0.08,1,2,0
24,255000,0,9.0,1,0,9600,6.99,0.04,0,2,0
25,250000,3,2.0,3,2,25000,13.49,0.1,0,4,0
25,12000,2,0.0,3,2,3000,10.99,0.25,0,3,1
22,56950,3,6.0,3,0,28000,10.99,0.49,0,2,1
21,12000,2,6.0,1,2,3000,13.61,0.25,1,3,1
23,65000,3,2.0,1,0,28000,7.9,0.43,0,2,1
26,85000,3,2.0,5,0,28000,7.49,0.33,0,3,1
26,12000,2,2.0,1,0,6100,7.51,0.51,0,3,1
22,88000,3,6.0,5,1,28000,9.91,0.32,0,3,1
21,12000,2,0.0,4,2,4200,13.48,0.35,1,4,1
22,12000,2,6.0,0,0,4750,7.14,0.4,0,2,1
24,83004,3,0.0,5,3,28000,15.99,0.34,1,4,1
24,250000,3,2.0,1,2,18000,12.98,0.07,1,3,0
25,100000,3,5.0,0,1,28000,12.69,0.28,0,3,0
26,110000,3,10.0,1,0,28000,8.9,0.25,0,2,0
26,12000,2,0.0,0,0,2700,10.99,0.23,0,4,1
22,108000,3,6.0,1,1,28000,10.99,0.26,0,4,1
23,151200,3,7.0,0,1,28000,11.11,0.19,0,2,0
24,69000,3,2.0,2,0,27600,10.99,0.4,0,2,1
21,12000,0,5.0,0,4,3250,15.68,0.27,1,3,1
22,70000,3,4.0,1,2,27500,13.06,0.39,1,3,1
22,240000,2,6.0,4,1,25000,10.99,0.1,0,2,0
26,73200,3,5.0,5,3,27050,15.62,0.37,1,2,1
24,83000,3,5.0,4,2,27000,13.49,0.33,1,2,1
24,73399,3,0.0,5,3,27000,10.99,0.37,0,3,1
23,62500,3,7.0,3,1,26000,11.71,0.42,0,2,1
23,120000,3,1.0,1,1,25600,12.69,0.21,0,3,0
24,12360,2,2.0,3,2,1600,13.57,0.13,0,3,0
22,60000,3,0.0,5,1,25475,10.99,0.42,0,3,1
25,234000,0,3.0,3,2,20000,14.27,0.09,1,4,0
24,234000,2,8.0,2,1,20000,8.88,0.09,0,4,0
26,234000,0,10.0,2,1,21600,12.18,0.09,0,3,0
25,221004,0,6.0,0,3,11900,14.42,0.05,1,3,1
26,232500,0,0.0,3,2,25000,14.17,0.11,1,2,0
25,230000,0,5.0,3,2,35000,13.99,0.15,0,4,0
23,83000,3,7.0,1,1,25300,10.99,0.3,0,3,1
22,12600,0,4.0,4,0,2000,5.42,0.16,0,4,1
25,12600,2,3.0,4,2,1750,13.61,0.14,0,3,0
21,42500,3,3.0,1,2,25000,12.73,0.59,1,3,1
24,41000,3,2.0,2,3,25000,10.99,0.61,0,3,1
25,12816,2,0.0,0,2,3000,12.87,0.23,1,4,1
24,12960,0,1.0,2,1,3650,9.91,0.28,0,3,1
26,226000,0,4.0,2,1,20000,11.49,0.09,0,4,0
25,225000,0,0.0,2,4,30000,19.91,0.13,1,2,0
26,213000,0,6.0,1,1,35000,10.65,0.16,0,2,1
24,225000,3,0.0,3,1,6000,10.99,0.03,0,4,0
24,12960,0,0.0,0,1,4500,11.83,0.35,0,4,1
23,12996,2,0.0,0,2,2400,13.49,0.18,1,2,1
22,42000,3,6.0,3,3,25000,14.59,0.6,1,2,1
26,48000,3,2.0,1,1,25000,9.64,0.52,0,4,1
25,12996,2,1.0,3,3,3600,14.59,0.28,0,3,1
22,12996,2,1.0,1,1,4750,10.99,0.37,0,3,1
25,42360,3,1.0,1,4,25000,16.35,0.59,1,3,1
21,49000,3,4.0,1,1,25000,10.99,0.51,0,2,1
25,225000,0,0.0,5,5,25000,18.67,0.11,0,2,0
26,225000,3,1.0,1,0,3000,9.32,0.01,0,4,0
23,225000,3,8.0,0,0,7500,8.63,0.03,0,2,0
26,225000,0,2.0,5,1,25000,10.08,0.11,0,2,0
22,49464,3,5.0,4,1,25000,11.83,0.51,0,3,1
23,50000,3,1.0,0,0,25000,7.9,0.5,0,3,1
25,50000,3,4.0,2,0,25000,5.99,0.5,0,2,1
24,44000,3,2.0,0,3,25000,15.33,0.57,0,2,1
23,50000,3,1.0,5,1,25000,11.83,0.5,0,4,1
22,50004,3,0.0,5,1,25000,10.36,0.5,0,2,1
22,50004,3,3.0,5,2,25000,12.23,0.5,0,3,1
22,52000,3,2.0,1,1,25000,11.11,0.48,0,4,1
23,13200,2,3.0,0,0,4950,7.9,0.38,0,4,1
24,220000,0,1.0,1,1,25000,11.58,0.11,0,2,0
23,216000,0,5.0,0,0,21000,8.9,0.1,0,3,0
25,216000,0,2.0,1,3,25000,16.07,0.12,0,3,0
26,216000,0,10.0,1,2,20000,14.22,0.09,1,2,0
23,215000,0,7.0,3,2,35000,14.79,0.16,1,3,0
26,215000,0,11.0,1,0,12000,7.88,0.06,0,2,0
23,52000,3,1.0,4,2,25000,13.22,0.48,0,2,1
26,46000,3,2.0,0,3,25000,11.86,0.54,0,4,1
22,53000,3,5.0,1,2,25000,13.43,0.47,1,4,1
26,47000,3,0.0,2,3,25000,15.28,0.53,1,2,1
23,47000,3,1.0,5,4,25000,17.93,0.53,0,2,1
23,13200,0,2.0,1,1,1400,9.25,0.11,0,4,0
21,13200,2,0.0,5,2,4500,12.98,0.34,0,4,1
22,210000,0,6.0,5,1,16000,10.62,0.08,0,4,0
26,210000,2,10.0,4,1,22000,11.83,0.1,0,4,0
26,48000,3,5.0,5,5,25000,18.43,0.52,0,2,1
22,54996,3,6.0,1,1,25000,10.99,0.45,0,4,1
24,55000,3,4.0,2,3,25000,10.99,0.45,1,4,1
23,55000,3,4.0,1,1,25000,11.36,0.45,0,3,1
23,55000,3,4.0,1,3,25000,15.65,0.45,1,3,1
24,55164,3,8.0,4,2,25000,13.22,0.45,1,4,1
26,56000,3,4.0,0,2,25000,12.87,0.45,0,2,1
24,203500,2,8.0,3,2,20000,13.04,0.1,0,3,0
23,190000,0,5.0,1,5,22000,17.58,0.12,1,3,1
23,13920,2,2.0,4,4,7750,17.04,0.56,0,4,1
24,60000,3,0.0,4,1,25000,10.99,0.42,0,3,1
24,60000,3,2.0,4,1,25000,11.11,0.42,0,3,1
26,54000,3,7.0,0,3,25000,14.83,0.46,1,2,1
23,14000,2,2.0,0,3,4000,10.99,0.29,0,3,1
24,200000,3,8.0,3,1,12000,12.69,0.06,0,2,0
24,200000,0,8.0,2,2,12000,13.49,0.06,0,2,0
21,200000,0,5.0,1,2,16000,14.65,0.08,0,4,0
25,54000,3,3.0,2,4,25000,16.82,0.46,0,4,1
23,60000,3,3.0,4,2,25000,12.73,0.42,0,3,1
23,60000,3,7.0,4,1,25000,10.25,0.42,0,4,1
21,60000,3,6.0,1,1,25000,10.99,0.42,0,4,1
25,61959,3,9.0,3,2,25000,12.73,0.4,0,2,1
22,56400,3,2.0,2,3,25000,14.96,0.44,1,3,1
23,200000,0,7.0,1,0,28000,10.99,0.14,0,2,0
21,200000,0,2.0,0,2,25000,13.99,0.13,0,2,0
24,200000,0,3.0,5,0,24000,7.49,0.12,0,4,0
26,200000,0,4.0,1,2,15000,14.79,0.07,0,3,0
25,200000,0,2.0,0,1,15500,11.99,0.08,0,2,0
24,200000,3,8.0,1,0,10000,8.49,0.05,0,4,0
24,66000,3,3.0,1,1,25000,9.91,0.38,0,2,1
22,66000,3,6.0,1,2,25000,13.06,0.38,1,3,1
22,200000,0,6.0,0,0,9000,6.17,0.04,0,4,0
25,200000,3,5.0,1,3,18000,16.32,0.09,0,3,0
25,200000,0,2.0,5,1,12000,10.38,0.06,0,2,0
25,200000,0,9.0,4,2,23050,14.35,0.12,0,3,0
24,200000,0,8.0,0,1,20000,10.99,0.1,0,3,0
24,60000,3,2.0,0,4,25000,10.99,0.42,1,2,1
21,14400,2,0.0,2,1,3000,10.99,0.21,0,4,1
26,66996,3,10.0,4,3,25000,15.21,0.37,1,2,1
23,67000,3,3.0,1,0,25000,7.9,0.37,0,4,1
24,67000,3,2.0,5,1,25000,10.99,0.37,0,3,1
24,68000,3,5.0,4,3,25000,14.09,0.37,1,3,1
25,69000,3,9.0,4,3,25000,17.49,0.36,0,2,1
25,200000,0,0.0,1,1,12000,11.48,0.06,0,3,0
26,188000,0,10.0,5,4,20000,17.74,0.11,0,2,1
26,200000,0,4.0,4,2,3000,13.92,0.01,0,3,0
25,69996,3,9.0,1,3,25000,15.21,0.36,0,3,1
22,14400,2,2.0,3,1,4000,10.99,0.28,0,3,1
24,70000,3,3.0,1,1,25000,11.86,0.36,0,4,1
24,14400,2,5.0,4,0,6000,7.49,0.42,0,3,1
24,56100,3,7.0,3,3,25000,16.49,0.38,0,4,1
25,66000,3,9.0,5,3,25000,15.33,0.38,1,2,1
26,66000,3,3.0,2,1,25000,11.58,0.38,0,4,1
25,14400,2,7.0,1,0,5375,5.79,0.37,0,2,1
25,72612,3,9.0,3,2,25000,13.11,0.34,0,2,1
23,74000,3,3.0,3,1,25000,10.36,0.34,0,3,1
25,75000,3,9.0,0,1,25000,10.36,0.33,0,2,1
24,192000,3,0.0,3,2,22000,10.99,0.11,1,2,0
21,192000,0,123.0,5,0,20000,6.54,0.1,0,4,0
25,191000,0,1.0,3,1,10000,12.53,0.05,0,4,0
26,190300,0,5.0,4,0,15000,10.99,0.08,0,3,0
22,190000,0,3.0,5,2,10000,10.99,0.05,0,3,0
24,75000,3,4.0,1,1,25000,10.25,0.33,0,4,1
22,71000,3,1.0,1,3,25000,15.95,0.35,1,4,1
26,190000,0,3.0,5,1,20000,12.18,0.11,0,4,0
23,189996,2,0.0,4,1,24000,11.83,0.13,0,3,0
23,78000,3,7.0,0,2,25000,10.99,0.32,1,2,1
23,78000,3,1.0,5,1,25000,10.62,0.32,0,3,1
23,78504,3,7.0,5,1,25000,10.74,0.32,0,3,1
25,186000,2,9.0,5,1,10000,10.25,0.05,0,4,0
24,185000,0,4.0,1,1,35000,12.42,0.19,0,2,0
25,185000,3,6.0,5,2,15000,15.27,0.08,0,2,0
24,62050,3,8.0,3,3,25000,15.33,0.34,1,2,1
23,79416,3,7.0,5,3,25000,15.21,0.31,1,2,1
21,14400,2,4.0,5,2,6250,14.72,0.43,0,2,1
24,79631,3,8.0,4,3,25000,15.7,0.31,1,2,1
24,79632,3,0.0,1,2,25000,13.35,0.31,0,4,1
21,14400,0,0.0,3,2,1500,10.99,0.1,0,4,0
24,80000,3,6.0,1,0,25000,6.62,0.31,0,2,1
26,80000,3,5.0,0,2,25000,13.61,0.31,0,4,1
22,185000,3,4.0,3,1,25000,11.36,0.14,0,2,0
26,185000,2,10.0,4,0,5000,7.68,0.03,0,2,0
24,184992,3,7.0,2,3,22000,14.46,0.12,1,4,0
23,184000,2,5.0,1,1,2500,11.83,0.01,0,2,0
24,172000,0,6.0,0,2,20000,13.47,0.12,1,4,1
24,183000,0,2.0,3,1,20000,11.49,0.11,0,3,0
22,183000,0,3.0,1,0,1000,10.99,0.01,0,2,0
25,182952,0,9.0,4,0,15000,6.03,0.08,0,3,0
23,74004,3,7.0,0,4,25000,16.35,0.34,0,4,1
26,74004,3,10.0,0,3,25000,10.99,0.34,1,4,1
25,81000,3,5.0,0,0,25000,7.29,0.31,0,3,1
23,81600,3,1.0,3,1,25000,11.36,0.31,0,3,1
24,82000,3,8.0,5,1,25000,10.25,0.3,0,2,0
24,83000,3,5.0,1,1,25000,11.12,0.3,0,3,0
24,83000,3,5.0,4,3,25000,12.92,0.3,1,3,0
24,180000,3,8.0,1,4,18000,18.64,0.1,1,4,0
23,180000,0,8.0,4,0,28000,7.51,0.16,0,3,0
23,14400,2,2.0,2,4,4000,16.7,0.28,0,2,1
22,14400,2,0.0,4,1,2100,11.14,0.15,0,4,0
22,84500,3,6.0,4,5,25000,18.3,0.3,0,4,0
24,85000,3,5.0,3,1,25000,10.62,0.29,0,4,0
24,180000,0,7.0,5,1,14000,11.99,0.08,0,2,0
26,180000,0,2.0,5,1,12000,9.63,0.07,0,4,0
25,142800,0,9.0,3,5,10000,18.25,0.06,0,4,1
23,14664,0,0.0,0,2,6000,10.99,0.41,0,4,1
24,87000,3,8.0,2,3,25000,14.84,0.29,0,3,0
24,75000,3,0.0,5,4,25000,14.7,0.33,1,3,1
23,76000,3,7.0,0,3,25000,16.02,0.33,0,4,1
23,66215,3,1.0,3,3,25000,15.37,0.32,1,2,1
25,90000,3,9.0,3,1,25000,10.99,0.28,0,4,0
21,15000,2,0.0,2,0,6200,7.9,0.41,0,2,1
26,180000,2,2.0,4,1,25000,10.99,0.14,0,4,0
24,180000,2,8.0,1,1,21000,11.48,0.12,0,3,0
25,180000,2,9.0,3,2,20000,14.26,0.11,1,4,0
26,180000,2,0.0,2,0,10000,8.0,0.06,0,4,0
25,180000,0,3.0,5,1,9950,11.26,0.06,0,2,0
23,15000,2,7.0,3,1,4475,10.99,0.3,0,4,1
23,78000,3,2.0,5,3,25000,16.32,0.32,1,3,1
25,66300,3,3.0,3,4,25000,17.93,0.32,1,4,1
23,90000,3,0.0,0,1,25000,11.36,0.28,0,3,0
24,79000,3,9.0,0,3,25000,14.96,0.32,1,4,1
24,91800,3,4.0,4,2,25000,13.43,0.27,1,3,0
25,92000,3,6.0,2,1,25000,12.69,0.27,0,3,0
24,92000,3,1.0,5,2,25000,12.73,0.27,1,4,0
23,93600,3,3.0,5,3,25000,15.21,0.27,0,4,0
23,15000,0,1.0,3,2,1750,12.68,0.12,1,3,0
23,70550,3,3.0,3,5,25000,19.04,0.3,1,4,1
25,83800,3,2.0,0,3,25000,15.95,0.3,1,3,1
26,175000,0,3.0,5,0,2600,8.9,0.01,0,4,0
25,175000,0,10.0,2,0,8000,7.9,0.05,0,2,0
22,175000,0,6.0,1,1,18000,10.99,0.1,0,2,0
23,175000,0,8.0,4,1,21000,11.99,0.12,0,3,0
23,15000,2,4.0,0,2,4000,13.98,0.27,0,4,1
23,15000,2,4.0,5,1,4600,10.99,0.31,0,2,1
22,88000,3,6.0,0,3,25000,15.58,0.28,1,2,1
25,74800,3,2.0,3,1,25000,10.99,0.28,0,2,1
25,88000,3,0.0,5,3,25000,14.96,0.28,0,4,1
25,15000,2,2.0,2,3,1750,15.31,0.12,1,4,0
26,88000,3,2.0,5,3,25000,15.65,0.28,0,3,1
25,100000,3,1.0,5,1,25000,9.33,0.25,0,4,0
23,15000,0,0.0,4,2,3600,13.47,0.24,0,4,1
24,102400,3,8.0,4,1,25000,10.36,0.24,0,3,0
24,92000,3,1.0,2,4,25000,16.77,0.27,1,4,1
23,93000,3,0.0,0,3,25000,14.59,0.27,1,2,1
22,175000,3,6.0,5,2,3500,11.91,0.02,1,2,0
23,175000,0,3.0,1,0,7200,8.38,0.04,0,3,0
25,174708,3,9.0,5,1,9000,10.59,0.05,0,3,0
25,174000,0,2.0,0,2,8800,14.27,0.05,0,3,0
26,174000,3,8.0,0,1,12000,12.53,0.07,0,4,0
25,162000,0,5.0,0,4,25000,16.0,0.15,1,3,1
26,173467,0,10.0,5,1,10000,11.71,0.06,0,4,0
21,15000,2,0.0,2,2,3175,11.54,0.21,1,3,1
25,96000,3,2.0,2,4,25000,15.68,0.26,1,4,1
21,15120,0,0.0,1,1,1500,10.59,0.1,0,2,0
24,97908,3,8.0,2,3,25000,12.61,0.26,1,2,1
26,110000,3,3.0,4,2,25000,10.99,0.23,1,2,0
23,15204,0,7.0,4,0,2800,8.49,0.18,0,3,1
25,159600,3,0.0,4,3,30000,17.27,0.19,1,4,1
24,171500,3,6.0,0,0,18000,8.9,0.1,0,4,0
25,170004,0,3.0,3,1,10000,11.11,0.06,0,4,0
24,158004,3,0.0,2,3,25000,14.59,0.16,1,2,1
26,170000,3,0.0,5,1,13000,12.42,0.08,0,3,0
24,83300,3,0.0,3,3,25000,10.99,0.26,0,2,1
24,110000,3,7.0,2,3,25000,15.7,0.23,1,2,0
22,15360,2,7.0,2,1,2500,12.53,0.16,0,3,1
25,134300,3,3.0,3,3,5000,16.49,0.03,0,2,1
25,170000,0,2.0,1,0,20000,7.49,0.12,0,2,0
22,100580,3,6.0,0,3,25000,14.96,0.25,1,2,1
25,113000,3,7.0,3,2,25000,12.73,0.22,1,4,0
24,120000,3,8.0,1,1,25000,10.65,0.21,0,4,0
25,120000,3,6.0,3,1,25000,10.74,0.21,0,2,0
23,120000,3,7.0,1,1,25000,9.99,0.21,0,2,0
24,91800,3,5.0,3,3,25000,15.33,0.23,1,2,1
21,15600,2,5.0,5,0,1000,7.29,0.06,0,4,0
26,108000,3,2.0,4,3,25000,15.05,0.23,0,3,1
26,129996,3,6.0,4,1,25000,10.75,0.19,0,3,0
23,130000,3,4.0,1,3,25000,16.02,0.19,1,2,0
23,130000,3,7.0,5,1,25000,11.49,0.19,0,4,0
25,170000,2,4.0,1,1,20000,12.53,0.12,0,4,0
26,170000,0,0.0,5,2,12000,13.57,0.07,1,2,0
22,169000,3,1.0,4,1,14000,11.14,0.08,0,3,0
26,168750,3,10.0,3,2,24250,12.87,0.14,1,3,0
23,168600,3,3.0,1,1,20000,11.58,0.12,0,3,0
24,168288,3,5.0,2,1,1800,11.12,0.01,0,3,0
25,168000,0,2.0,4,1,35000,10.65,0.21,0,2,0
24,133300,3,6.0,0,1,25000,10.37,0.19,0,2,0
24,15600,2,5.0,2,0,3300,6.39,0.21,0,4,1
24,134000,3,8.0,4,3,25000,16.07,0.19,1,3,0
25,134000,3,7.0,3,1,25000,10.62,0.19,0,2,0
25,15600,2,0.0,5,5,3200,18.09,0.21,0,2,1
25,135000,3,5.0,1,1,25000,11.36,0.19,0,4,0
26,135660,3,10.0,0,1,25000,12.53,0.18,0,4,0
25,145000,3,0.0,1,1,25000,9.99,0.17,0,4,0
23,150000,3,4.0,1,1,25000,10.36,0.17,0,3,0
23,165000,0,3.0,1,0,9600,5.99,0.06,0,3,0
22,153000,0,5.0,0,3,24000,15.62,0.16,1,2,1
24,165000,0,5.0,4,1,20000,10.37,0.12,0,4,0
25,165000,0,0.0,2,5,25000,19.74,0.15,0,4,0
21,165000,0,5.0,1,0,20000,6.91,0.12,0,4,0
23,16000,2,7.0,3,0,6000,7.9,0.38,0,2,1
23,16000,0,3.0,0,2,2275,13.06,0.14,1,4,0
23,16000,2,7.0,4,0,2000,6.39,0.13,0,3,0
23,148000,3,1.0,0,4,25000,14.93,0.17,0,3,1
23,16000,0,1.0,3,2,5600,12.84,0.35,0,4,1
24,16020,2,3.0,5,4,3625,17.14,0.23,1,2,1
22,16094,0,2.0,5,0,5500,7.14,0.34,0,3,1
25,175000,3,2.0,4,0,25000,8.9,0.14,0,2,0
22,16200,2,6.0,4,1,2000,12.42,0.12,0,3,0
24,185000,3,7.0,2,2,25000,12.68,0.14,1,2,0
25,162000,3,9.0,4,2,25000,11.03,0.15,0,2,0
26,161000,3,10.0,5,0,30000,7.9,0.19,0,4,0
22,160000,0,0.0,3,1,35000,10.65,0.22,0,4,0
25,225000,3,5.0,5,1,25000,11.86,0.11,0,4,0
25,16400,2,1.0,4,0,5000,8.94,0.3,0,4,1
23,16500,2,6.0,5,1,4375,9.63,0.27,0,4,1
25,49500,3,6.0,4,2,24750,14.22,0.5,0,3,1
23,60000,3,4.0,0,1,24750,9.33,0.41,0,3,1
24,84200,3,8.0,3,2,24500,13.85,0.29,0,4,0
22,16800,0,5.0,1,1,2000,10.65,0.12,0,2,0
24,92000,3,8.0,3,1,24500,11.46,0.27,0,4,0
23,160000,0,5.0,4,0,35000,7.66,0.22,0,2,0
24,160000,0,9.0,5,4,12000,16.77,0.07,0,4,0
25,160000,0,1.0,4,1,12000,9.63,0.07,0,4,0
26,160000,3,6.0,4,2,25000,12.23,0.16,1,4,0
25,125800,0,0.0,3,3,10000,14.09,0.07,0,4,1
25,54000,3,2.0,4,2,24250,13.98,0.45,0,4,1
23,62500,3,1.0,1,1,24250,10.62,0.39,0,4,1
24,16800,0,4.0,0,0,3900,10.99,0.23,0,3,1
25,68400,3,9.0,4,4,24250,17.56,0.35,0,4,1
26,56045,3,1.0,3,3,24250,14.96,0.37,0,2,1
22,74000,3,7.0,0,3,24250,15.65,0.33,1,2,1
24,65453,3,9.0,3,3,24250,15.7,0.31,0,2,1
24,89908,3,1.0,5,1,24250,12.53,0.27,0,3,0
26,78000,3,0.0,2,4,24250,17.56,0.31,1,3,1
23,100000,3,0.0,4,2,24250,12.87,0.24,1,2,0
23,103000,3,6.0,4,3,24250,15.7,0.24,0,2,0
25,160000,0,2.0,1,0,9000,10.99,0.06,0,3,0
25,160000,2,5.0,5,1,15000,11.14,0.09,0,4,0
24,160000,0,3.0,5,3,20000,16.0,0.13,0,3,0
23,160000,0,2.0,1,3,25000,15.65,0.16,1,2,0
26,160000,0,0.0,0,2,13750,10.99,0.09,0,4,0
21,160000,0,3.0,5,3,15250,15.31,0.1,1,4,0
25,160000,0,3.0,5,2,20000,13.47,0.13,1,2,0
22,16800,0,0.0,2,2,4750,13.85,0.28,1,2,1
25,111996,3,9.0,4,3,24250,10.99,0.22,0,3,0
21,16800,0,0.0,5,1,6000,10.39,0.36,0,4,1
25,115200,3,0.0,2,1,24250,11.36,0.21,0,2,0
23,144000,3,0.0,1,1,24250,11.83,0.17,0,3,0
23,287000,3,3.0,1,1,24250,12.53,0.08,0,3,0
22,108000,3,1.0,2,3,24150,14.96,0.22,1,3,1
22,43000,3,7.0,0,2,24000,13.85,0.56,1,3,1
23,47004,3,1.0,5,1,24000,11.58,0.51,0,4,1
24,48000,3,4.0,5,3,24000,16.29,0.5,1,2,1
26,48000,3,4.0,3,0,24000,10.99,0.5,0,3,1
21,44964,3,2.0,1,3,24000,16.29,0.53,1,2,1
25,52000,3,4.0,4,1,24000,10.74,0.46,0,2,1
22,17352,0,4.0,1,2,2250,15.27,0.13,1,3,0
24,47000,3,3.0,4,5,24000,17.8,0.51,0,2,1
22,17400,0,6.0,5,1,1000,11.36,0.06,0,2,0
22,49000,3,2.0,3,4,24000,17.56,0.49,0,4,1
26,60000,3,0.0,4,0,24000,7.9,0.4,0,4,1
25,60000,3,3.0,4,1,24000,10.99,0.4,0,4,1
22,60000,3,0.0,4,0,24000,7.29,0.4,0,3,1
21,60000,3,5.0,3,1,24000,10.75,0.4,0,2,1
26,62004,3,9.0,0,0,24000,7.9,0.39,0,3,1
22,62400,3,3.0,1,3,24000,14.84,0.38,0,2,1
26,65000,3,10.0,0,0,24000,10.99,0.37,0,2,1
22,17760,0,6.0,1,2,4975,10.99,0.28,1,3,1
23,59000,3,5.0,0,4,24000,19.69,0.41,1,2,1
23,66000,3,6.0,5,0,24000,10.99,0.36,0,4,1
24,60000,3,0.0,5,3,24000,14.96,0.4,0,4,1
25,66143,3,9.0,1,0,24000,6.99,0.36,0,3,1
22,62250,3,3.0,4,4,24000,16.45,0.39,1,4,1
24,70000,3,8.0,1,1,24000,10.99,0.34,0,4,1
23,74000,3,7.0,0,1,24000,10.99,0.32,0,2,1
22,18000,2,3.0,4,0,3000,7.9,0.17,0,4,1
22,75000,3,6.0,1,1,24000,12.69,0.32,0,4,1
24,75000,3,9.0,3,1,24000,10.37,0.32,0,3,1
24,75000,3,7.0,2,2,24000,10.99,0.32,0,3,1
26,69000,3,0.0,0,5,24000,15.83,0.35,0,3,1
23,78000,3,4.0,4,2,24000,13.92,0.31,0,3,1
22,18000,2,4.0,5,1,2000,11.49,0.11,0,3,0
